timestamp,review,sentiment,value
2025-12-25 23:18:08,"aplikasinya bagus tapi ada beberapa fitur yg masih kurang, segera dibenahi saja",Positive,1
2025-12-25 23:18:37,"aplikasinya masih jelek, tolong diperbaiki lagi yaa",Negative,0
2025-12-25 23:19:30,aplikasi tolool,Negative,0
2025-12-25 23:19:30,suka error,Positive,1
2025-12-25 23:19:30,sudah paling Update malah eror terussssss,Negative,0
2025-12-25 23:19:30,"ga bisa login, captcha nya muter doang",Negative,0
2025-12-25 23:19:30,"kita daftar berobat harus lewat online,tapi kenyataan dari aplikasi ini apa?suka keluar sendiri, waktu mau login lagi, tidak bisa bisa, selau loading padahan apk lain tidak loading, mau berobat saja susah, padahal kita aja bayar meskipun itu perbulan!!!,memang harus mempersulit kita sebagai rakyat kecil yang ingin berobat? apa fungsinya aplikasi yg selalu loading ga jelas !!",Negative,0
2025-12-25 23:19:30,"tolong di perbaiki, kode captha muter doang gak muncul²... jadi gak bisa login paketan padahal aman jaringan kenceng, sampe hp di restar berkali2 sama aja masih gak bisa",Negative,0
2025-12-25 23:19:30,Bikin ribed aja aplikasi pas lagi dibutuhin sering error padahal orang sakit harus buru2 ditangani.,Negative,0
2025-12-25 23:19:30,"setiap bulan update aplikasi dan slalu login, tapi setiap log-in selalu susah yg caphca tidak tampil,yg aplikasi eror bukan membatu malah buat ribet",Negative,0
2025-12-25 23:19:30,"dikasih chapta, eh malah muter2. gimana loginnya klo kaya gini",Negative,0
2025-12-25 23:19:30,terlog-out sendiri dan tdk bisa login. dulu bagus skrg kok turun performa. saya tidak yakin aplikasi ini mendapat rating 4.5 bintang saya baca hampir rata² memberi nilai 1 bintang,Negative,0
2025-12-25 23:19:30,"mau login aja susah banget, captcha nya muter2 mulu",Negative,0
2025-12-25 23:19:30,"aplikasi bodoh, orang dimana mana bikin software untuk mempermudah pengguna, ini justru makin mempersulit pengguna, orang mau berobat udah setengah mati pun harus ngingat ngingat password dulu, lawak",Negative,0
2025-12-25 23:19:30,sudah update malah gabisa log in,Negative,0
2025-12-25 23:19:30,tidak bisa login capcha tidak keluar,Negative,0
2025-12-25 23:19:30,apk ga bisa di pake ga update nyusahin banget sumpah orang mau berobat malah ga bisa login su,Negative,0
2025-12-25 23:19:30,kenapa mau login captcha muter2 terus? tolong dong d perbaiki,Negative,0
2025-12-25 23:19:30,tidak bisa log in stak terus di menu log in,Negative,0
2025-12-25 23:19:30,entahlah lebih lancar buka YouTube sama Facebook ketimbang buka aplikasi mobile JKN... semoga menjadi perhatian serius untuk lebih baik lagi melayani rakyat Indonesia.,Negative,0
2025-12-25 23:19:30,"semenjak di perbarui kenapa JD susah eror Mulu, mau berobat jkn nya eror terus ,",Negative,0
